      action  day  guard_id  hour  minute  month                                       original  year                time
400        1   26      89.0     0       4     10    [1518-10-26 00:04] Guard #89 begins shift\n  2018 2018-10-26 00:04:00
647        0   26      89.0     0      38     10              [1518-10-26 00:38] falls asleep\n  2018 2018-10-26 00:38:00
1049       1   26      89.0     0      57     10                  [1518-10-26 00:57] wakes up\n  2018 2018-10-26 00:57:00
105        1    1      89.0    23      58     11    [1518-11-01 23:58] Guard #89 begins shift\n  2018 2018-11-01 23:58:00
424        0    2      89.0     0      28     11              [1518-11-02 00:28] falls asleep\n  2018 2018-11-02 00:28:00
910        1    2      89.0     0      52     11                  [1518-11-02 00:52] wakes up\n  2018 2018-11-02 00:52:00
219        1    5      89.0    23      58     11    [1518-11-05 23:58] Guard #89 begins shift\n  2018 2018-11-05 23:58:00
1051       0    6      89.0     0      31     11              [1518-11-06 00:31] falls asleep\n  2018 2018-11-06 00:31:00
506        1    6      89.0     0      46     11                  [1518-11-06 00:46] wakes up\n  2018 2018-11-06 00:46:00
486        0    6      89.0     0      52     11              [1518-11-06 00:52] falls asleep\n  2018 2018-11-06 00:52:00
211        1    6      89.0     0      57     11                  [1518-11-06 00:57] wakes up\n  2018 2018-11-06 00:57:00
19         1    9      89.0     0       0     11    [1518-11-09 00:00] Guard #89 begins shift\n  2018 2018-11-09 00:00:00
605        0    9      89.0     0      27     11              [1518-11-09 00:27] falls asleep\n  2018 2018-11-09 00:27:00
576        1    9      89.0     0      34     11                  [1518-11-09 00:34] wakes up\n  2018 2018-11-09 00:34:00
986        0    9      89.0     0      37     11              [1518-11-09 00:37] falls asleep\n  2018 2018-11-09 00:37:00
663        1    9      89.0     0      49     11                  [1518-11-09 00:49] wakes up\n  2018 2018-11-09 00:49:00
878        1   15     163.0    23      59      3   [1518-03-15 23:59] Guard #163 begins shift\n  2018 2018-03-15 23:59:00
746        0   16     163.0     0      42      3              [1518-03-16 00:42] falls asleep\n  2018 2018-03-16 00:42:00
258        1   16     163.0     0      58      3                  [1518-03-16 00:58] wakes up\n  2018 2018-03-16 00:58:00
245        1   21     163.0    23      53      3   [1518-03-21 23:53] Guard #163 begins shift\n  2018 2018-03-21 23:53:00
731        0   22     163.0     0       0      3              [1518-03-22 00:00] falls asleep\n  2018 2018-03-22 00:00:00
304        1   22     163.0     0      18      3                  [1518-03-22 00:18] wakes up\n  2018 2018-03-22 00:18:00
940        0   22     163.0     0      55      3              [1518-03-22 00:55] falls asleep\n  2018 2018-03-22 00:55:00
36         1   22     163.0     0      56      3                  [1518-03-22 00:56] wakes up\n  2018 2018-03-22 00:56:00
695        1   28     163.0     0       2      3   [1518-03-28 00:02] Guard #163 begins shift\n  2018 2018-03-28 00:02:00
124        0   28     163.0     0      24      3              [1518-03-28 00:24] falls asleep\n  2018 2018-03-28 00:24:00
268        1   28     163.0     0      36      3                  [1518-03-28 00:36] wakes up\n  2018 2018-03-28 00:36:00
737        1   15     163.0     0       4      5   [1518-05-15 00:04] Guard #163 begins shift\n  2018 2018-05-15 00:04:00
269        0   15     163.0     0      43      5              [1518-05-15 00:43] falls asleep\n  2018 2018-05-15 00:43:00
91         1   15     163.0     0      59      5                  [1518-05-15 00:59] wakes up\n  2018 2018-05-15 00:59:00
890        1   13     163.0     0       2      7   [1518-07-13 00:02] Guard #163 begins shift\n  2018 2018-07-13 00:02:00
261        0   13     163.0     0      39      7              [1518-07-13 00:39] falls asleep\n  2018 2018-07-13 00:39:00
838        1   13     163.0     0      54      7                  [1518-07-13 00:54] wakes up\n  2018 2018-07-13 00:54:00
1117       1   24     163.0    23      47      7     [1518-07-24 23:47] Guard #163 begins shift  2018 2018-07-24 23:47:00
849        0   25     163.0     0       0      7              [1518-07-25 00:00] falls asleep\n  2018 2018-07-25 00:00:00
406        1   25     163.0     0      56      7                  [1518-07-25 00:56] wakes up\n  2018 2018-07-25 00:56:00
726        1   29     163.0    23      46      8   [1518-08-29 23:46] Guard #163 begins shift\n  2018 2018-08-29 23:46:00
17         0   30     163.0     0       1      8              [1518-08-30 00:01] falls asleep\n  2018 2018-08-30 00:01:00
573        1   30     163.0     0      41      8                  [1518-08-30 00:41] wakes up\n  2018 2018-08-30 00:41:00
418        0   30     163.0     0      55      8              [1518-08-30 00:55] falls asleep\n  2018 2018-08-30 00:55:00
657        1   30     163.0     0      59      8                  [1518-08-30 00:59] wakes up\n  2018 2018-08-30 00:59:00
616        1    8     163.0     0       2      9   [1518-09-08 00:02] Guard #163 begins shift\n  2018 2018-09-08 00:02:00
384        0    8     163.0     0      48      9              [1518-09-08 00:48] falls asleep\n  2018 2018-09-08 00:48:00
687        1    8     163.0     0      58      9                  [1518-09-08 00:58] wakes up\n  2018 2018-09-08 00:58:00
323        1   12     163.0    23      59     10   [1518-10-12 23:59] Guard #163 begins shift\n  2018 2018-10-12 23:59:00
21         0   13     163.0     0      25     10              [1518-10-13 00:25] falls asleep\n  2018 2018-10-13 00:25:00
15         1   13     163.0     0      53     10                  [1518-10-13 00:53] wakes up\n  2018 2018-10-13 00:53:00
632        1    3     311.0     0       4      3   [1518-03-03 00:04] Guard #311 begins shift\n  2018 2018-03-03 00:04:00
1041       0    3     311.0     0      24      3              [1518-03-03 00:24] falls asleep\n  2018 2018-03-03 00:24:00
774        1    3     311.0     0      55      3                  [1518-03-03 00:55] wakes up\n  2018 2018-03-03 00:55:00
345        1   31     311.0     0       0      3   [1518-03-31 00:00] Guard #311 begins shift\n  2018 2018-03-31 00:00:00
955        0   31     311.0     0      44      3              [1518-03-31 00:44] falls asleep\n  2018 2018-03-31 00:44:00
967        1   31     311.0     0      46      3                  [1518-03-31 00:46] wakes up\n  2018 2018-03-31 00:46:00
654        0   31     311.0     0      51      3              [1518-03-31 00:51] falls asleep\n  2018 2018-03-31 00:51:00
584        1   31     311.0     0      53      3                  [1518-03-31 00:53] wakes up\n  2018 2018-03-31 00:53:00
594        0   31     311.0     0      57      3              [1518-03-31 00:57] falls asleep\n  2018 2018-03-31 00:57:00
26         1   31     311.0     0      58      3                  [1518-03-31 00:58] wakes up\n  2018 2018-03-31 00:58:00
313        1    2     311.0    23      54      5   [1518-05-02 23:54] Guard #311 begins shift\n  2018 2018-05-02 23:54:00
362        0    3     311.0     0       5      5              [1518-05-03 00:05] falls asleep\n  2018 2018-05-03 00:05:00
866        1    3     311.0     0      45      5                  [1518-05-03 00:45] wakes up\n  2018 2018-05-03 00:45:00
733        0    3     311.0     0      52      5              [1518-05-03 00:52] falls asleep\n  2018 2018-05-03 00:52:00
369        1    3     311.0     0      54      5                  [1518-05-03 00:54] wakes up\n  2018 2018-05-03 00:54:00
1112       1   29     311.0     0       0      5   [1518-05-29 00:00] Guard #311 begins shift\n  2018 2018-05-29 00:00:00
760        0   29     311.0     0      15      5              [1518-05-29 00:15] falls asleep\n  2018 2018-05-29 00:15:00
1081       1   29     311.0     0      42      5                  [1518-05-29 00:42] wakes up\n  2018 2018-05-29 00:42:00
175        0   29     311.0     0      53      5              [1518-05-29 00:53] falls asleep\n  2018 2018-05-29 00:53:00
680        1   29     311.0     0      58      5                  [1518-05-29 00:58] wakes up\n  2018 2018-05-29 00:58:00
927        1   31     311.0    23      59      5   [1518-05-31 23:59] Guard #311 begins shift\n  2018 2018-05-31 23:59:00
528        0    1     311.0     0      29      6              [1518-06-01 00:29] falls asleep\n  2018 2018-06-01 00:29:00
1091       1    1     311.0     0      30      6                  [1518-06-01 00:30] wakes up\n  2018 2018-06-01 00:30:00
320        0    1     311.0     0      40      6              [1518-06-01 00:40] falls asleep\n  2018 2018-06-01 00:40:00
408        1    1     311.0     0      48      6                  [1518-06-01 00:48] wakes up\n  2018 2018-06-01 00:48:00
903        0    1     311.0     0      53      6              [1518-06-01 00:53] falls asleep\n  2018 2018-06-01 00:53:00
167        1    1     311.0     0      54      6                  [1518-06-01 00:54] wakes up\n  2018 2018-06-01 00:54:00
618        1   18     311.0     0       2      6   [1518-06-18 00:02] Guard #311 begins shift\n  2018 2018-06-18 00:02:00
172        0   18     311.0     0      14      6              [1518-06-18 00:14] falls asleep\n  2018 2018-06-18 00:14:00
738        1   18     311.0     0      33      6                  [1518-06-18 00:33] wakes up\n  2018 2018-06-18 00:33:00
671        1   13     311.0    23      46      7   [1518-07-13 23:46] Guard #311 begins shift\n  2018 2018-07-13 23:46:00
896        0   14     311.0     0       0      7              [1518-07-14 00:00] falls asleep\n  2018 2018-07-14 00:00:00
407        1   14     311.0     0      39      7                  [1518-07-14 00:39] wakes up\n  2018 2018-07-14 00:39:00
309        1   28     311.0    23      59      7   [1518-07-28 23:59] Guard #311 begins shift\n  2018 2018-07-28 23:59:00
184        0   29     311.0     0      24      7              [1518-07-29 00:24] falls asleep\n  2018 2018-07-29 00:24:00
319        1   29     311.0     0      43      7                  [1518-07-29 00:43] wakes up\n  2018 2018-07-29 00:43:00
344        1   11     311.0    23      58      8   [1518-08-11 23:58] Guard #311 begins shift\n  2018 2018-08-11 23:58:00
1043       0   12     311.0     0      35      8              [1518-08-12 00:35] falls asleep\n  2018 2018-08-12 00:35:00
399        1   12     311.0     0      39      8                  [1518-08-12 00:39] wakes up\n  2018 2018-08-12 00:39:00
555        0   12     311.0     0      50      8              [1518-08-12 00:50] falls asleep\n  2018 2018-08-12 00:50:00
421        1   12     311.0     0      52      8                  [1518-08-12 00:52] wakes up\n  2018 2018-08-12 00:52:00
452        1    8     311.0    23      58      9   [1518-09-08 23:58] Guard #311 begins shift\n  2018 2018-09-08 23:58:00
790        0    9     311.0     0      32      9              [1518-09-09 00:32] falls asleep\n  2018 2018-09-09 00:32:00
888        1    9     311.0     0      44      9                  [1518-09-09 00:44] wakes up\n  2018 2018-09-09 00:44:00
825        1   10     311.0    23      59      9   [1518-09-10 23:59] Guard #311 begins shift\n  2018 2018-09-10 23:59:00
1053       0   11     311.0     0      32      9              [1518-09-11 00:32] falls asleep\n  2018 2018-09-11 00:32:00
260        1   11     311.0     0      43      9                  [1518-09-11 00:43] wakes up\n  2018 2018-09-11 00:43:00
1000       0   11     311.0     0      46      9              [1518-09-11 00:46] falls asleep\n  2018 2018-09-11 00:46:00
819        1   11     311.0     0      54      9                  [1518-09-11 00:54] wakes up\n  2018 2018-09-11 00:54:00
739        1   17     311.0    23      57      9   [1518-09-17 23:57] Guard #311 begins shift\n  2018 2018-09-17 23:57:00
529        0   18     311.0     0      31      9              [1518-09-18 00:31] falls asleep\n  2018 2018-09-18 00:31:00
730        1   18     311.0     0      34      9                  [1518-09-18 00:34] wakes up\n  2018 2018-09-18 00:34:00
1056       0   18     311.0     0      45      9              [1518-09-18 00:45] falls asleep\n  2018 2018-09-18 00:45:00
782        1   18     311.0     0      46      9                  [1518-09-18 00:46] wakes up\n  2018 2018-09-18 00:46:00
341        1    2     311.0    23      56     10   [1518-10-02 23:56] Guard #311 begins shift\n  2018 2018-10-02 23:56:00
58         0    3     311.0     0      29     10              [1518-10-03 00:29] falls asleep\n  2018 2018-10-03 00:29:00
231        1    3     311.0     0      39     10                  [1518-10-03 00:39] wakes up\n  2018 2018-10-03 00:39:00
609        1   21     311.0     0       0     10   [1518-10-21 00:00] Guard #311 begins shift\n  2018 2018-10-21 00:00:00
533        0   21     311.0     0      35     10              [1518-10-21 00:35] falls asleep\n  2018 2018-10-21 00:35:00
705        1   21     311.0     0      38     10                  [1518-10-21 00:38] wakes up\n  2018 2018-10-21 00:38:00
837        0   21     311.0     0      42     10              [1518-10-21 00:42] falls asleep\n  2018 2018-10-21 00:42:00
847        1   21     311.0     0      53     10                  [1518-10-21 00:53] wakes up\n  2018 2018-10-21 00:53:00
863        1   21     311.0    23      59     10   [1518-10-21 23:59] Guard #311 begins shift\n  2018 2018-10-21 23:59:00
669        0   22     311.0     0      22     10              [1518-10-22 00:22] falls asleep\n  2018 2018-10-22 00:22:00
29         1   22     311.0     0      58     10                  [1518-10-22 00:58] wakes up\n  2018 2018-10-22 00:58:00
1113       1    1     311.0     0       0     11   [1518-11-01 00:00] Guard #311 begins shift\n  2018 2018-11-01 00:00:00
342        0    1     311.0     0      49     11              [1518-11-01 00:49] falls asleep\n  2018 2018-11-01 00:49:00
1084       1    1     311.0     0      51     11                  [1518-11-01 00:51] wakes up\n  2018 2018-11-01 00:51:00
821        0    1     311.0     0      54     11              [1518-11-01 00:54] falls asleep\n  2018 2018-11-01 00:54:00
665        1    1     311.0     0      57     11                  [1518-11-01 00:57] wakes up\n  2018 2018-11-01 00:57:00
875        1   20     311.0     0       4     11   [1518-11-20 00:04] Guard #311 begins shift\n  2018 2018-11-20 00:04:00
1028       0   20     311.0     0      57     11              [1518-11-20 00:57] falls asleep\n  2018 2018-11-20 00:57:00
501        1   20     311.0     0      58     11                  [1518-11-20 00:58] wakes up\n  2018 2018-11-20 00:58:00
547        1   13     587.0    23      57      2   [1518-02-13 23:57] Guard #587 begins shift\n  2018 2018-02-13 23:57:00
428        0   14     587.0     0      36      2              [1518-02-14 00:36] falls asleep\n  2018 2018-02-14 00:36:00
176        1   14     587.0     0      54      2                  [1518-02-14 00:54] wakes up\n  2018 2018-02-14 00:54:00
118        1   24     587.0     0       1      2   [1518-02-24 00:01] Guard #587 begins shift\n  2018 2018-02-24 00:01:00
168        0   24     587.0     0      12      2              [1518-02-24 00:12] falls asleep\n  2018 2018-02-24 00:12:00
776        1   24     587.0     0      39      2                  [1518-02-24 00:39] wakes up\n  2018 2018-02-24 00:39:00
1048       0   24     587.0     0      44      2              [1518-02-24 00:44] falls asleep\n  2018 2018-02-24 00:44:00
704        1   24     587.0     0      50      2                  [1518-02-24 00:50] wakes up\n  2018 2018-02-24 00:50:00
256        1   10     587.0    23      56      5   [1518-05-10 23:56] Guard #587 begins shift\n  2018 2018-05-10 23:56:00
498        0   11     587.0     0      16      5              [1518-05-11 00:16] falls asleep\n  2018 2018-05-11 00:16:00
913        1   11     587.0     0      36      5                  [1518-05-11 00:36] wakes up\n  2018 2018-05-11 00:36:00
607        1   17     587.0     0       0      7   [1518-07-17 00:00] Guard #587 begins shift\n  2018 2018-07-17 00:00:00
912        0   17     587.0     0      14      7              [1518-07-17 00:14] falls asleep\n  2018 2018-07-17 00:14:00
965        1   17     587.0     0      55      7                  [1518-07-17 00:55] wakes up\n  2018 2018-07-17 00:55:00
328        1   19     587.0    23      50      7   [1518-07-19 23:50] Guard #587 begins shift\n  2018 2018-07-19 23:50:00
340        0   20     587.0     0       3      7              [1518-07-20 00:03] falls asleep\n  2018 2018-07-20 00:03:00
273        1   20     587.0     0      27      7                  [1518-07-20 00:27] wakes up\n  2018 2018-07-20 00:27:00
278        0   20     587.0     0      35      7              [1518-07-20 00:35] falls asleep\n  2018 2018-07-20 00:35:00
929        1   20     587.0     0      37      7                  [1518-07-20 00:37] wakes up\n  2018 2018-07-20 00:37:00
409        0   20     587.0     0      41      7              [1518-07-20 00:41] falls asleep\n  2018 2018-07-20 00:41:00
1073       1   20     587.0     0      52      7                  [1518-07-20 00:52] wakes up\n  2018 2018-07-20 00:52:00
262        1   22     587.0     0       0      7   [1518-07-22 00:00] Guard #587 begins shift\n  2018 2018-07-22 00:00:00
740        0   22     587.0     0      29      7              [1518-07-22 00:29] falls asleep\n  2018 2018-07-22 00:29:00
442        1   22     587.0     0      46      7                  [1518-07-22 00:46] wakes up\n  2018 2018-07-22 00:46:00
106        1   11     587.0     0       3      8   [1518-08-11 00:03] Guard #587 begins shift\n  2018 2018-08-11 00:03:00
516        0   11     587.0     0      39      8              [1518-08-11 00:39] falls asleep\n  2018 2018-08-11 00:39:00
112        1   11     587.0     0      48      8                  [1518-08-11 00:48] wakes up\n  2018 2018-08-11 00:48:00
78         0   11     587.0     0      52      8              [1518-08-11 00:52] falls asleep\n  2018 2018-08-11 00:52:00
577        1   11     587.0     0      54      8                  [1518-08-11 00:54] wakes up\n  2018 2018-08-11 00:54:00
941        1   19     587.0    23      48     10   [1518-10-19 23:48] Guard #587 begins shift\n  2018 2018-10-19 23:48:00
982        0   20     587.0     0       0     10              [1518-10-20 00:00] falls asleep\n  2018 2018-10-20 00:00:00
249        1   20     587.0     0      33     10                  [1518-10-20 00:33] wakes up\n  2018 2018-10-20 00:33:00
327        0   20     587.0     0      42     10              [1518-10-20 00:42] falls asleep\n  2018 2018-10-20 00:42:00
478        1   20     587.0     0      45     10                  [1518-10-20 00:45] wakes up\n  2018 2018-10-20 00:45:00
338        0   20     587.0     0      51     10              [1518-10-20 00:51] falls asleep\n  2018 2018-10-20 00:51:00
84         1   20     587.0     0      55     10                  [1518-10-20 00:55] wakes up\n  2018 2018-10-20 00:55:00
292        1   10     631.0    23      47      2   [1518-02-10 23:47] Guard #631 begins shift\n  2018 2018-02-10 23:47:00
465        0   11     631.0     0       3      2              [1518-02-11 00:03] falls asleep\n  2018 2018-02-11 00:03:00
1002       1   11     631.0     0      19      2                  [1518-02-11 00:19] wakes up\n  2018 2018-02-11 00:19:00
46         1   26     631.0     0       0      2   [1518-02-26 00:00] Guard #631 begins shift\n  2018 2018-02-26 00:00:00
468        0   26     631.0     0      30      2              [1518-02-26 00:30] falls asleep\n  2018 2018-02-26 00:30:00
1085       1   26     631.0     0      55      2                  [1518-02-26 00:55] wakes up\n  2018 2018-02-26 00:55:00
430        1   12     631.0     0       2      3   [1518-03-12 00:02] Guard #631 begins shift\n  2018 2018-03-12 00:02:00
990        0   12     631.0     0      17      3              [1518-03-12 00:17] falls asleep\n  2018 2018-03-12 00:17:00
891        1   12     631.0     0      21      3                  [1518-03-12 00:21] wakes up\n  2018 2018-03-12 00:21:00
179        1   24     631.0     0       4      4   [1518-04-24 00:04] Guard #631 begins shift\n  2018 2018-04-24 00:04:00
524        0   24     631.0     0      51      4              [1518-04-24 00:51] falls asleep\n  2018 2018-04-24 00:51:00
373        1   24     631.0     0      56      4                  [1518-04-24 00:56] wakes up\n  2018 2018-04-24 00:56:00
227        1   18     631.0    23      53      5   [1518-05-18 23:53] Guard #631 begins shift\n  2018 2018-05-18 23:53:00
582        0   19     631.0     0       5      5              [1518-05-19 00:05] falls asleep\n  2018 2018-05-19 00:05:00
204        1   19     631.0     0      20      5                  [1518-05-19 00:20] wakes up\n  2018 2018-05-19 00:20:00
851        1   21     631.0     0       0      5   [1518-05-21 00:00] Guard #631 begins shift\n  2018 2018-05-21 00:00:00
495        0   21     631.0     0      21      5              [1518-05-21 00:21] falls asleep\n  2018 2018-05-21 00:21:00
969        1   21     631.0     0      42      5                  [1518-05-21 00:42] wakes up\n  2018 2018-05-21 00:42:00
134        1   28     631.0     0       1      5   [1518-05-28 00:01] Guard #631 begins shift\n  2018 2018-05-28 00:01:00
1097       0   28     631.0     0      20      5              [1518-05-28 00:20] falls asleep\n  2018 2018-05-28 00:20:00
1007       1   28     631.0     0      43      5                  [1518-05-28 00:43] wakes up\n  2018 2018-05-28 00:43:00
802        1    2     631.0    23      53      6   [1518-06-02 23:53] Guard #631 begins shift\n  2018 2018-06-02 23:53:00
155        0    3     631.0     0       2      6              [1518-06-03 00:02] falls asleep\n  2018 2018-06-03 00:02:00
173        1    3     631.0     0      47      6                  [1518-06-03 00:47] wakes up\n  2018 2018-06-03 00:47:00
696        0    3     631.0     0      51      6              [1518-06-03 00:51] falls asleep\n  2018 2018-06-03 00:51:00
766        1    3     631.0     0      54      6                  [1518-06-03 00:54] wakes up\n  2018 2018-06-03 00:54:00
531        1    8     631.0     0       4      6   [1518-06-08 00:04] Guard #631 begins shift\n  2018 2018-06-08 00:04:00
61         0    8     631.0     0      13      6              [1518-06-08 00:13] falls asleep\n  2018 2018-06-08 00:13:00
42         1    8     631.0     0      37      6                  [1518-06-08 00:37] wakes up\n  2018 2018-06-08 00:37:00
786        0    8     631.0     0      45      6              [1518-06-08 00:45] falls asleep\n  2018 2018-06-08 00:45:00
1036       1    8     631.0     0      53      6                  [1518-06-08 00:53] wakes up\n  2018 2018-06-08 00:53:00
1047       1   19     631.0    23      57      6   [1518-06-19 23:57] Guard #631 begins shift\n  2018 2018-06-19 23:57:00
496        0   20     631.0     0      10      6              [1518-06-20 00:10] falls asleep\n  2018 2018-06-20 00:10:00
198        1   20     631.0     0      12      6                  [1518-06-20 00:12] wakes up\n  2018 2018-06-20 00:12:00
370        0   20     631.0     0      29      6              [1518-06-20 00:29] falls asleep\n  2018 2018-06-20 00:29:00
265        1   20     631.0     0      39      6                  [1518-06-20 00:39] wakes up\n  2018 2018-06-20 00:39:00
1054       0   20     631.0     0      49      6              [1518-06-20 00:49] falls asleep\n  2018 2018-06-20 00:49:00
1006       1   20     631.0     0      52      6                  [1518-06-20 00:52] wakes up\n  2018 2018-06-20 00:52:00
225        1   30     631.0     0       2      6   [1518-06-30 00:02] Guard #631 begins shift\n  2018 2018-06-30 00:02:00
567        0   30     631.0     0      21      6              [1518-06-30 00:21] falls asleep\n  2018 2018-06-30 00:21:00
902        1   30     631.0     0      59      6                  [1518-06-30 00:59] wakes up\n  2018 2018-06-30 00:59:00
848        1   10     631.0    23      57      7   [1518-07-10 23:57] Guard #631 begins shift\n  2018 2018-07-10 23:57:00
467        0   11     631.0     0      37      7              [1518-07-11 00:37] falls asleep\n  2018 2018-07-11 00:37:00
69         1   11     631.0     0      49      7                  [1518-07-11 00:49] wakes up\n  2018 2018-07-11 00:49:00
59         1   18     631.0     0       3      8   [1518-08-18 00:03] Guard #631 begins shift\n  2018 2018-08-18 00:03:00
3          0   18     631.0     0       6      8              [1518-08-18 00:06] falls asleep\n  2018 2018-08-18 00:06:00
977        1   18     631.0     0      12      8                  [1518-08-18 00:12] wakes up\n  2018 2018-08-18 00:12:00
166        0   18     631.0     0      24      8              [1518-08-18 00:24] falls asleep\n  2018 2018-08-18 00:24:00
350        1   18     631.0     0      37      8                  [1518-08-18 00:37] wakes up\n  2018 2018-08-18 00:37:00
392        1   20     631.0     0       0      8   [1518-08-20 00:00] Guard #631 begins shift\n  2018 2018-08-20 00:00:00
928        0   20     631.0     0      34      8              [1518-08-20 00:34] falls asleep\n  2018 2018-08-20 00:34:00
38         1   20     631.0     0      53      8                  [1518-08-20 00:53] wakes up\n  2018 2018-08-20 00:53:00
64         1   21     631.0    23      47      8   [1518-08-21 23:47] Guard #631 begins shift\n  2018 2018-08-21 23:47:00
274        0   22     631.0     0       2      8              [1518-08-22 00:02] falls asleep\n  2018 2018-08-22 00:02:00
988        1   22     631.0     0       4      8                  [1518-08-22 00:04] wakes up\n  2018 2018-08-22 00:04:00
634        0   22     631.0     0      48      8              [1518-08-22 00:48] falls asleep\n  2018 2018-08-22 00:48:00
842        1   22     631.0     0      59      8                  [1518-08-22 00:59] wakes up\n  2018 2018-08-22 00:59:00
